id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key;energia;acousticness;danceability;valence
507bYMYfbm6sUS9iEAaeSd;Broken;Seether, Amy Lee;Disclaimer II;2004.0;258.333;72;False;https://open.spotify.com/track/507bYMYfbm6sUS9iEAaeSd;guitar_stems/Seether_-_Broken_ft._Amy_Lee.wav;63.0;Gb major;0.06789242476224899;0.5922410388885839;0.30338844092066286;0.9857521623373031
75JFxkI2RXiU7L9VXzMkle;The Scientist;Coldplay;A Rush of Blood to the Head;2002.0;309.6;88;False;https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle;guitar_stems/Coldplay_-_The_Scientist_(Official_4K_Video).wav;146.0;E major;0.03789277374744415;0.6187428539530735;0.31794937463656103;0.9313257426023482
1hWrl3T1kIH5b9zRHLfCOn;What's My Age Again?;blink-182;Enema Of The State;1999.0;148.573;8;False;https://open.spotify.com/track/1hWrl3T1kIH5b9zRHLfCOn;;;;;;;
0wIBOrGO6PUkhsrbhJdlcJ;Tears of the Dragon;Bruce Dickinson;Balls To Picasso;1994.0;384.013;0;False;https://open.spotify.com/track/0wIBOrGO6PUkhsrbhJdlcJ;guitar_stems/Bruce_Dickinson_-_Tears_Of_The_Dragon_(Official_HD_Video).wav;70.0;E minor;0.05527108535170555;0.5743167559788014;0.30082273147505906;0.8080532491207123
3TW48DvQ7ChwY1Yy1tkMaP;Runaway Train (2022 Remaster);Soul Asylum;Grave Dancers Union (2022 Remaster);1992.0;266.56;71;False;https://open.spotify.com/track/3TW48DvQ7ChwY1Yy1tkMaP;;;;;;;
5j7gLuOsBOyqooruGxX4nx;Taking Over Me;Evanescence;Fallen;2003.0;228.613;57;False;https://open.spotify.com/track/5j7gLuOsBOyqooruGxX4nx;guitar_stems/Evanescence_-_Taking_Over_Me_(Remastered_2023)_-_Official_Visualizer.wav;63.0;A minor;0.0701528936624527;0.6354599303267927;0.632442315832902;1.0722375601530074
0lP4HYLmvowOKdsQ7CVkuq;The Kill;Thirty Seconds To Mars;A Beautiful Lie;2005.0;231.533;78;False;https://open.spotify.com/track/0lP4HYLmvowOKdsQ7CVkuq;guitar_stems/The_Killers_-_When_You_Were_Young_(Official_Music_Video).wav;130.0;E major;0.05000454932451248;0.6571700627842794;0.34409196487785343;1.1711487114429473
3rnU9CkxjXJ1uCCnb3t56l;Ana's Song (Open Fire);Silverchair;Neon Ballroom;1999.0;222.266;50;False;https://open.spotify.com/track/3rnU9CkxjXJ1uCCnb3t56l;guitar_stems/Silverchair_-_Ana's_Song_(Open_Fire)_(Official_Video).wav;80.0;G minor;0.012952364981174469;0.6252269263535045;0.22987496241409072;1.063446655869484
4Y3WqmBWmG23thvU9xEhMv;Easy;Faith No More;Angel Dust (Deluxe Edition);1992.0;186.96;63;False;https://open.spotify.com/track/4Y3WqmBWmG23thvU9xEhMv;guitar_stems/Faith_No_More_-_Easy_(Official_Music_Video).wav;94.0;E major;0.012604272924363613;0.6641521127654502;0.17688186470563474;1.1974010646343232
1Vej0qeQ3ioKwpI6FUbRv1;Papercut;Linkin Park;Hybrid Theory (Bonus Edition);2000.0;184.866;77;False;https://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1;guitar_stems/Papercut_[Official_HD_Music_Video]_-_Linkin_Park.wav;75.0;C# minor;0.060106996446847916;0.6443981179538607;0.48397670621813454;1.2010545194149016
2m1hi0nfMR9vdGC8UcrnwU;All The Small Things;blink-182;Enema Of The State;1999.0;167.066;81;False;https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU;guitar_stems/blink-182_-_All_The_Small_Things_(Official_Music_Video).wav;74.0;C major;0.08816182613372803;0.6054294248891943;0.5756064082271084;1.0335422247648238
0MaUkkAY8As9h2yHHrXmSu;Misunderstood;Bon Jovi;Bounce;2002.0;210.08;59;False;https://open.spotify.com/track/0MaUkkAY8As9h2yHHrXmSu;guitar_stems/Bon_Jovi_-_Misunderstood_(Official_Music_Video).wav;55.0;G major;0.08145283162593842;0.5963625297858695;0.3463582704168286;0.9646012991666794
5DiXcVovI0FcY2s0icWWUu;Mr. Jones;Counting Crows;August And Everything After;1993.0;272.293;79;False;https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu;guitar_stems/Counting_Crows_-_Mr._Jones_(Official_Music_Video).wav;71.0;A minor;0.05298193544149399;0.582188965277078;0.39116658459342124;0.8935438513755798
2gANywSFYF58YFMPdDSAjC;Stand by Me;Oasis;Be Here Now;1997.0;356.6;62;False;https://open.spotify.com/track/2gANywSFYF58YFMPdDSAjC;guitar_stems/Oasis_-_Stand_By_Me_(Official_Video).wav;84.0;G major;0.07570046931505203;0.5967369927210693;0.21516672132648007;0.9616696894168854
5egqKwgK5r5rvGD1LrtR7J;Points of Authority;Linkin Park;Hybrid Theory (Bonus Edition);2000.0;200.24;68;False;https://open.spotify.com/track/5egqKwgK5r5rvGD1LrtR7J;guitar_stems/Points_Of_Authority_[Official_HD_Music_Video]_-_Linkin_Park.wav;66.0;Eb minor;0.05596036836504936;0.6425155258221247;0.9846479360465283;1.1818365722894668
79pY2Z5eFvXMt9bSdHLrnA;I Am Mine;Pearl Jam;Riot Act;2002.0;215.333;58;False;https://open.spotify.com/track/79pY2Z5eFvXMt9bSdHLrnA;guitar_stems/Pearl_Jam_-_I_Am_Mine_(Live_at_Chop_Suey_-_Official_HD_Video).wav;104.0;D major;0.11111924797296524;0.5850836048381305;0.3458371287526404;0.9223090052604674
