URL,mime-type,nato-digital,numero-de-paginas,megabytes
data\outros\1033568.pdf,application/pdf,True,5,0.12
data\outros\1033569.pdf,application/pdf,True,5,0.1
data\outros\1033570.pdf,application/pdf,True,9,0.19
data\outros\1033571.pdf,application/pdf,True,4,0.1
data\outros\1033572.pdf,application/pdf,True,5,0.08
data\outros\1033577.pdf,application/pdf,True,3,0.06
data\outros\107759.pdf,application/pdf,True,4,0.04
data\outros\107760.pdf,application/pdf,True,4,0.1
data\outros\107761.pdf,application/pdf,True,4,0.09
data\outros\107762.pdf,application/pdf,True,2,0.03
data\outros\107763.pdf,application/pdf,True,4,0.06
data\outros\107764.pdf,application/pdf,True,4,0.07
data\outros\107765.pdf,application/pdf,True,3,0.04
data\outros\107766.pdf,application/pdf,True,2,0.03
data\outros\107767.pdf,application/pdf,True,2,0.03
data\outros\107768.pdf,application/pdf,True,4,0.11
data\outros\107769.pdf,application/pdf,True,3,0.08
data\outros\107770.pdf,application/pdf,True,4,0.06
data\outros\107771.pdf,application/pdf,True,8,0.17
data\outros\107772.pdf,application/pdf,True,4,0.11
data\outros\107773.pdf,application/pdf,True,6,0.09
data\outros\107774.pdf,application/pdf,True,2,0.05
data\outros\107775.pdf,application/pdf,True,2,0.03
data\outros\107776.pdf,application/pdf,True,3,0.06
data\outros\107777.pdf,application/pdf,True,3,0.04
data\outros\107778.pdf,application/pdf,True,2,0.03
data\outros\107779.pdf,application/pdf,True,5,0.12
data\outros\107780.pdf,application/pdf,True,4,0.11
data\outros\107781.pdf,application/pdf,True,3,0.04
data\outros\107782.pdf,application/pdf,True,2,0.02
data\outros\107783.pdf,application/pdf,True,1,0.02
data\outros\107784.pdf,application/pdf,True,2,0.02
data\outros\107785.pdf,application/pdf,True,3,0.06
data\outros\107786.pdf,application/pdf,True,2,0.03
data\outros\107787.pdf,application/pdf,True,2,0.04
data\outros\107788.pdf,application/pdf,True,2,0.05
data\outros\107789.pdf,application/pdf,True,3,0.08
data\outros\107790.pdf,application/pdf,True,3,0.06
