id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
437,yair rodriguez,El Pantera,M,Peso-pena,21,5,0,0.47,0.78,0.07,0.15,0.38,0.38,0.24,4.65,3.78,0.71,0.64,0.53,0.59,0.35,794,5.44,1.93,2.47,32,71.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/RODRIGUEZ_YAIR_L_04-12.png?itok=yt3ShRhc,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/RODRIGUEZ_YAIR_04-12.png?itok=PIWCqsNN
438,yan xiaonan,,F,Peso-palha feminino,19,5,0,0.45,0.87,0.08,0.06,0.42,0.53,0.05,4.69,3.23,0.84,0.0,0.6,0.65,0.15,901,5.99,1.21,1.96,36,65.0,116.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/XIAONAN_YAN_L_04-12.png?itok=1X7gTTBD,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/XIAONAN_YAN_04-12.png?itok=OwQk8AKx
439,jim miller,A-10,M,Peso-leve,38,19,0,0.42,0.71,0.15,0.14,0.18,0.26,0.55,2.92,3.44,1.5,1.7,0.57,0.49,0.2,586,7.7,2.63,2.8,41,68.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/MILLER_JIM_L_04-12.png?itok=qQwKUPpi,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/MILLER_JIM_04-12.png?itok=C66zjONi
440,darren elkins,The Damage,M,Peso-pena,29,12,0,0.38,0.58,0.2,0.22,0.31,0.52,0.17,3.4,3.34,2.87,1.07,0.51,0.56,0.09,701,9.04,2.35,0.51,40,70.0,145.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/ELKINS_DARREN_L_04-12.png?itok=KX70pI9e,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/ELKINS_DARREN_04-12.png?itok=Adp8oTG2
441,paddy pimblett,The Baddy,M,Peso-leve,23,3,0,0.54,0.69,0.06,0.25,0.3,0.26,0.43,5.19,3.14,0.96,1.68,0.42,0.5,0.48,536,2.13,0.39,0.72,30,70.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PIMBLETT_PADDY_L_07-27.png?itok=q5xj0vEe,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/PIMBLETT_PADDY_04-12.png?itok=csatlGEm
442,sean woodson,The Sniper,M,Peso-pena,13,2,1,0.47,0.93,0.06,0.01,0.31,0.62,0.08,5.57,4.18,0.58,0.35,0.59,0.85,0.46,710,5.16,1.09,1.0,32,74.5,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/WOODSON_SEAN_L_12-14.png?itok=5p88yTIl,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/WOODSON_SEAN_04-12.png?itok=0lUfzKST
443,virna jandiroba,Carcara,F,Peso-palha feminino,22,3,0,0.39,0.77,0.12,0.11,0.05,0.32,0.64,1.97,2.55,2.37,1.81,0.58,0.74,0.11,724,2.23,0.35,0.03,37,63.0,116.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/JANDIROBA_VIRNA_L_03-30.png?itok=RiGMAiWK,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/JANDIROBA_VIRNA_04-12.png?itok=WOJrxwvN
444,marco tulio,Matuto,M,Peso-médio,14,1,0,0.6,0.83,0.05,0.12,0.71,0.21,0.07,7.54,2.53,0.88,0.44,0.62,0.0,2.21,510,1.39,0.69,0.48,30,72.0,186.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/12/TULIO_MARCO_L_01-11.png?itok=dyDvDisL,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/TULIO_MARCO_04-12.png?itok=qTfxyVUT
445,hailey cowan,All Hail ,F,Peso-galo feminino,7,4,0,0.42,0.58,0.28,0.14,0.29,0.43,0.29,2.5,2.79,1.63,0.0,0.34,0.8,0.0,737,0.54,0.34,0.04,33,68.0,136.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/COWAN_HAILEY_L_02_25.png?itok=maVoslI2,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/COWAN_HAILEY_04-12.png?itok=cfaC1p-k
446,josh emmett,CC0 (C-C-OH),M,Peso-pena,19,5,0,0.36,0.84,0.06,0.1,0.37,0.53,0.11,3.75,4.46,1.09,0.07,0.6,0.47,0.87,824,4.94,1.63,1.15,40,66.5,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/EMMETT_JOSH_L_04-05.png?itok=L015F9SN,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/EMMETT_JOSH_04-05.png?itok=l8DMv3GH
