Year,Track,Artist,Album,Duration (s),Genres,Track ID,Release Date,Popularity
2010,OMG (feat. will.i.am),"USHER, will.i.am",Raymond v Raymond (Expanded Edition),269,r&b,1bM50INir8voAkVoKuvEUI,2010-03-30,79
2010,Hard,"Rihanna, Jeezy",Rated R,250,Unknown,3YJkAQNEhmCZGLdmPsu6Ye,2009-11-20,57
2010,New Divide,Linkin Park,Transformers: Revenge Of The Fallen The Album,268,"nu metal, rap metal, rock, alternative metal",6Wx88Mv6b9ofjKMKkdwOJd,2009-06-12,72
2010,Just Dance,"Lady Gaga, Colby O'Donis",The Fame,241,"art pop, pop",1dzQoRqT5ucxXVaAhTcT0J,2008-01-01,84
2010,Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),235,Unknown,3CeCwYWvdfXbZLXFhBrbnf,2021-02-12,79
2010,Russian Roulette,Rihanna,Rated R,227,Unknown,3rMsX63C0IZVnOT5LGYoTH,2009-11-20,67
2010,Find Your Love,Drake,Thank Me Later (Int'l Version),208,"rap, hip hop",18PSaTJMLkFNWnW0NWdOAW,2010-01-01,60
2010,Carry Out (Featuring Justin Timberlake),"Timbaland, Justin Timberlake",Shock Value II,232,Unknown,2DHc2e5bBn4UzY0ENVFrUl,2009-01-01,72
2010,Waka Waka (Esto es Africa) (feat. Freshlyground),"Shakira, Freshlyground",Waka Waka (Esto es Africa) (feat. Freshlyground),202,latin pop,0W8nDs4H2cqxxAgszNMYO3,2010-04-29,65
2010,LoveGame,Lady Gaga,The Fame,216,"art pop, pop",0eH2eHURaXUP15D8gQlfjx,2008-01-01,76
2010,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (Deluxe Edition),220,"art pop, pop",7rl7ao5pb9BhvAzPdWStxi,2009-08-05,80
2010,Pump It,Black Eyed Peas,Monkey Business,213,Unknown,2ygMBIctKIAfbEBcT9065L,2005-01-01,80
2010,STARSTRUKK (feat. Katy Perry),"3OH!3, Katy Perry, Matt Squire",WANT (Deluxe),202,Unknown,1hBM2D1ULT3aeKuddSwPsK,2009-01-16,67
2010,Colgando en tus manos (con Marta Sánchez),"Carlos Baute, Marta Sánchez",De mi puño y letra - Edicion Coleccionista,230,latin pop,3UI9I3e1g1y5T3SMfdgfGO,2009,80
2010,Love Me,Justin Bieber,My World,191,Unknown,0yIywEquxORnu1dR0WYsdN,2009-01-01,71
2010,Beautiful,"Akon, Colby O'Donis, Kardinal Offishall",Freedom,312,Unknown,1GLx5tpDdwEFiA7KaikvX2,2008-01-01,75
2010,A Year Without Rain,Selena Gomez & The Scene,A Year Without Rain (International Standard Version),234,Unknown,0lYS1tJg3r6ATe9bRPB0Hu,2010-01-01,63
2010,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",One More Love,210,"edm, dance",7fLzbEOBOae9lUnOwr7Tse,2010-11-22,81
2010,7 Things - Single Version,Miley Cyrus,Breakout,213,Unknown,5ecZWU5uQOiCVSnPxBZNmT,2008-01-01,65
2010,TiK ToK,Kesha,Animal (Expanded Edition),199,Unknown,0HPD5WQqrq7wPWR7P7Dw1i,2010-01-01,86
2010,Like Toy Soldiers,Eminem,Encore (Deluxe Version),296,"rap, hip hop",6CN3e26iQSj1N5lomh0mfO,2004-11-12,68
2010,No Love,"Eminem, Lil Wayne",Recovery,299,"rap, hip hop",7bHT9osSq1rwT2yaImzqCi,2010-06-18,72
2010,Imma Be,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],257,Unknown,16sbugRbf9xEKlekuQ7Whm,2009-01-01,63
2010,In And Out Of Love,"Rivo, Armin van Buuren, Sharon Den Adel",In And Out Of Love,226,"afro house, melodic techno, melodic house",64fEHUyea9EqtAkmwqxFrr,2024-06-28,57
2010,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),242,"soft pop, acoustic pop",3S0OXQeoh0w6AY8WQVckRW,2008-05-01,81
2010,Al Final,Lilly Goodman,Sin Miedo a Nada,243,"christian, worship",5qM3CXQgoHVdzTMCIPb1xK,2008-12-15,65
2010,Take It Off,Kesha,Animal (Expanded Edition),215,Unknown,0WCiI0ddWiu5F2kSHgfw5S,2010-01-01,72
